,aircraft,airline_name,aisle_space_rating,author,author_country,cabin_flown,cabin_staff_rating,content,date,date_flown,food_beverages_rating,ground_service_rating,inflight_entertainment_rating,link,overall_rating,power_supply_rating,recommended,route,seat_comfort_rating,seat_layout,seat_legroom_rating,seat_recline_rating,seat_storage_rating,seat_width_rating,title,type_traveller,value_money_rating,viewing_tv_rating,wifi_connectivity_rating,negativereason_confidence,negativereason
10,,american-airlines,,Kelli O'Donnell,United States,First Class,3.0,"This review is about their ridiculous process to get credited for miles on their and their partners flights. Last week it took me all of ten minutes to ask United to credit me for flights I flew on SAS Airlines and all of two days to credit my account. I flew Iberia Airlines in November - filled out my request for miles from American in December - didn't hear anything by March. So I asked again and now I have been asked for receipt name boarding passes and advantage number - three of which I have provided and the receipt is really moot at this point. Honestly I believe this whole issue is because I have an apostrophe in my last name. Every time I tried to add my AA number to the reservation before I left I was told ""The last names don't match"". This is ridiculous.",2015-07-29,,2.0,3.0,3.0,/airline-reviews/american-airlines,1.0,,0,PIT to STX via MIA,2.0,,,,,,American Airlines customer review,Solo Leisure,3.0,,,0.9388888888888889,General
11,,american-airlines,,Kelli O'Donnell,United States,First Class,3.0,"This review is about their ridiculous process to get credited for miles on their and their partners flights. Last week it took me all of ten minutes to ask United to credit me for flights I flew on SAS Airlines and all of two days to credit my account. I flew Iberia Airlines in November - filled out my request for miles from American in December - didn't hear anything by March. So I asked again and now I have been asked for receipt name boarding passes and advantage number - three of which I have provided and the receipt is really moot at this point. Honestly I believe this whole issue is because I have an apostrophe in my last name. Every time I tried to add my AA number to the reservation before I left I was told ""The last names don't match"". This is ridiculous.",2015-07-29,,2.0,3.0,3.0,/airline-reviews/american-airlines,1.0,,0,PIT to STX via MIA,2.0,,,,,,American Airlines customer review,Solo Leisure,3.0,,,0.9388888888888889,General
12,,american-airlines,,J Larosa,United States,Economy,4.0,I cannot think of one good reason to fly American Airlines in the future. I cannot think of one reason to keep any credit card that only allows redemption on American as well. Customer service is becoming almost fight as they are not willing to negotiate or explain or accommodate customers anymore. I paid 178.00 cash to buy three thousand aadvantage miles for a $200 ticket due to all the fees they even rewarded me 5000 miles for my purchase. Every single customer service rep I spoke with told me I should read all their fine print online to add up the fees prior to booking. I could not cancel even within the first 5 minutes. They are aggressive and used tactics trying to make me feel I was inadequate in my booking purchase. Yikes. No reason to fly with them again their prices are not competitive and their rewards program is not user friendly nor offers half as many perks as other airlines. ,2015-07-28,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,STL to DFW,1.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,4.0,0.8011278195488722,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Cancelled Flight
13,,american-airlines,,J Larosa,United States,Economy,4.0,I cannot think of one good reason to fly American Airlines in the future. I cannot think of one reason to keep any credit card that only allows redemption on American as well. Customer service is becoming almost fight as they are not willing to negotiate or explain or accommodate customers anymore. I paid 178.00 cash to buy three thousand aadvantage miles for a $200 ticket due to all the fees they even rewarded me 5000 miles for my purchase. Every single customer service rep I spoke with told me I should read all their fine print online to add up the fees prior to booking. I could not cancel even within the first 5 minutes. They are aggressive and used tactics trying to make me feel I was inadequate in my booking purchase. Yikes. No reason to fly with them again their prices are not competitive and their rewards program is not user friendly nor offers half as many perks as other airlines. ,2015-07-28,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,STL to DFW,1.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,4.0,0.8011278195488722,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Cancelled Flight
14,,american-airlines,,Jackie Cummings,United States,Economy,1.0,I gave AA a one star rating because I had to choose something. Otherwise I would have given it a negative. This was my worst flying experience and my children's first flying experience. We were supposed to fly out Sunday morning at 7.45 am and due to a mechanical issue the flight was delayed (at first) and ended up getting cancelled. The next flight out was full so we had to take the next available flight at 4.45. Spent all day at the airport waiting to start our Orlando vacation. I was thinking this would be the worst part of our trip - but it wasn't. On the way home - our flight was delayed yet again. We flew out 2 hours after our original flight was scheduled which caused us to miss our connecting flight in Chicago. There were no later flights so we had to stay overnight. When I asked them about a room along with many other passengers we were given a discounted rate at a hotel 15 miles from the airport. The discounted rate was $75 and they didn't offer to pay for a cab (the shuttle wasn't running this late). Rather than taking the room we slept at the airport. Definitely not what you wish for your children's first flying experience.,2015-07-27,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,Kansas City to Orlando,1.0,,,,,,American Airlines customer review,FamilyLeisure,1.0,,1.0,0.9881578947368421,Cancelled Flight
15,Boeing 757,american-airlines,,Emerson Rogers,United States,Economy,1.0,The aircraft was old and dirty. The cabin crew did not engage with passengers (they only seemed interested in chatting to each other about their layover in London). The aircraft was freezing cold but they refused to notice that the passengers were wrapped up in hoodies and blankets even though passengers complained. Tickets are expensive and additional charges are applied for a second suitcase if you want to choose a seat and $9 for an alcoholic spirit! The food was nothing short of disgusting. Many passenger bought their own packed lunches. The IFE was like something out of the 70's. Overhead monitors with no choice of movie. Tiny in-ear headsets were begrudgingly handed out to passengers unfortunate enough not to have brought their own. American Airlines are complaining about unfair completion from middle east airlines. Given the choice I would fly on Emirates or Qatar every time!,2015-07-27,,1.0,1.0,1.0,/airline-reviews/american-airlines,2.0,,0,London to Philadelphia,2.0,,,,,,American Airlines customer review,Business,1.0,,,1.0630681818181817,Food/Flight Attendant
16,Boeing 757,american-airlines,,Emerson Rogers,United States,Economy,1.0,The aircraft was old and dirty. The cabin crew did not engage with passengers (they only seemed interested in chatting to each other about their layover in London). The aircraft was freezing cold but they refused to notice that the passengers were wrapped up in hoodies and blankets even though passengers complained. Tickets are expensive and additional charges are applied for a second suitcase if you want to choose a seat and $9 for an alcoholic spirit! The food was nothing short of disgusting. Many passenger bought their own packed lunches. The IFE was like something out of the 70's. Overhead monitors with no choice of movie. Tiny in-ear headsets were begrudgingly handed out to passengers unfortunate enough not to have brought their own. American Airlines are complaining about unfair completion from middle east airlines. Given the choice I would fly on Emirates or Qatar every time!,2015-07-27,,1.0,1.0,1.0,/airline-reviews/american-airlines,2.0,,0,London to Philadelphia,2.0,,,,,,American Airlines customer review,Business,1.0,,,1.0630681818181817,Food/Flight Attendant
17,Boeing 757,american-airlines,,Emerson Rogers,United States,Economy,1.0,The aircraft was old and dirty. The cabin crew did not engage with passengers (they only seemed interested in chatting to each other about their layover in London). The aircraft was freezing cold but they refused to notice that the passengers were wrapped up in hoodies and blankets even though passengers complained. Tickets are expensive and additional charges are applied for a second suitcase if you want to choose a seat and $9 for an alcoholic spirit! The food was nothing short of disgusting. Many passenger bought their own packed lunches. The IFE was like something out of the 70's. Overhead monitors with no choice of movie. Tiny in-ear headsets were begrudgingly handed out to passengers unfortunate enough not to have brought their own. American Airlines are complaining about unfair completion from middle east airlines. Given the choice I would fly on Emirates or Qatar every time!,2015-07-27,,1.0,1.0,1.0,/airline-reviews/american-airlines,2.0,,0,London to Philadelphia,2.0,,,,,,American Airlines customer review,Business,1.0,,,1.0630681818181817,Food/Flight Attendant
18,Boeing 737,american-airlines,,Matt Smith,United States,Economy,2.0,Every time I fly on an American Airlines they lose my luggage and the planes are always broken. On my way back to MO last time the plane was delayed in Phoenix for 4 hours before they finally switched us to a new plane. They still managed to mess up getting my luggage back that night. This time my flight left an hour late because of AC issues. When we land in Dallas for my transfer I went from a 45 minute layover to run as fast as I could to catch my gate. Got there as the door was closing. Turns out that didn't matter because there was an issue with this plane too. Apparently one seat was not functioning. I will never fly AA again. ,2015-07-27,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,Kansas City to Dallas to SLC,1.0,,,,,,American Airlines customer review,Business,1.0,,1.0,1.006331168831169,General
19,Boeing 737,american-airlines,,Matt Smith,United States,Economy,2.0,Every time I fly on an American Airlines they lose my luggage and the planes are always broken. On my way back to MO last time the plane was delayed in Phoenix for 4 hours before they finally switched us to a new plane. They still managed to mess up getting my luggage back that night. This time my flight left an hour late because of AC issues. When we land in Dallas for my transfer I went from a 45 minute layover to run as fast as I could to catch my gate. Got there as the door was closing. Turns out that didn't matter because there was an issue with this plane too. Apparently one seat was not functioning. I will never fly AA again. ,2015-07-27,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,Kansas City to Dallas to SLC,1.0,,,,,,American Airlines customer review,Business,1.0,,1.0,1.006331168831169,General
20,Boeing 737,american-airlines,,Matt Smith,United States,Economy,2.0,Every time I fly on an American Airlines they lose my luggage and the planes are always broken. On my way back to MO last time the plane was delayed in Phoenix for 4 hours before they finally switched us to a new plane. They still managed to mess up getting my luggage back that night. This time my flight left an hour late because of AC issues. When we land in Dallas for my transfer I went from a 45 minute layover to run as fast as I could to catch my gate. Got there as the door was closing. Turns out that didn't matter because there was an issue with this plane too. Apparently one seat was not functioning. I will never fly AA again. ,2015-07-27,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,Kansas City to Dallas to SLC,1.0,,,,,,American Airlines customer review,Business,1.0,,1.0,1.006331168831169,General
21,,american-airlines,,Kevin Hughes,United States,Economy,3.0,It took 37 hours to get to our destination. It was suppose to take 18 or so. My confirmed booked tickets for my wife and I had two transfers. One in Dallas and one in London. In the end it was 3. Our plane to Heathrow was late and we missed our transfer so when we got off our plane at Heathrow an American employee gave us new transfer tickets and told us to hurry to our next gate to catch it. So we ran to the next gate which took 30 minutes (Heathrow). When we got there my wife looked at the tickets and the layover was 4 hours. So why did the employee have us run? Because the flight was to Florence not Pisa and they probably didn't want us to notice. So we went back through security (1.5 hours Heathrow) and we got new tickets through American through British Airways to Pisa. We had about an hour wait after another run through security (1.5 hours) and back to the proper gate. So why didn't American put us on this flight in the first place? They work with British Airways to get customers to Pisa! Since we got back I contacted American about this issue they sent us a voucher for $200 for a luggage mess up on the way home. It didn't have anything to do with the sending us to the wrong city.,2015-07-26,,2.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,"Seattle to Pisa via Dallas, Heathrow, Barcelona",1.0,,,,,,American Airlines customer review,Couple Leisure,1.0,,,1.0027511961722488,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems
22,,american-airlines,,Kevin Hughes,United States,Economy,3.0,It took 37 hours to get to our destination. It was suppose to take 18 or so. My confirmed booked tickets for my wife and I had two transfers. One in Dallas and one in London. In the end it was 3. Our plane to Heathrow was late and we missed our transfer so when we got off our plane at Heathrow an American employee gave us new transfer tickets and told us to hurry to our next gate to catch it. So we ran to the next gate which took 30 minutes (Heathrow). When we got there my wife looked at the tickets and the layover was 4 hours. So why did the employee have us run? Because the flight was to Florence not Pisa and they probably didn't want us to notice. So we went back through security (1.5 hours Heathrow) and we got new tickets through American through British Airways to Pisa. We had about an hour wait after another run through security (1.5 hours) and back to the proper gate. So why didn't American put us on this flight in the first place? They work with British Airways to get customers to Pisa! Since we got back I contacted American about this issue they sent us a voucher for $200 for a luggage mess up on the way home. It didn't have anything to do with the sending us to the wrong city.,2015-07-26,,2.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,"Seattle to Pisa via Dallas, Heathrow, Barcelona",1.0,,,,,,American Airlines customer review,Couple Leisure,1.0,,,1.0027511961722488,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems
23,,american-airlines,,Shawn Flynn,United States,Economy,1.0,I am a US college student currently in Buenos Aires Argentina. I was traveling from Columbus Ohio with connections in Washington and Miami. I board in Columbus without any problems however once on board I dealt with rude flight attendants. The flight to Washington arrives to DCA on time I had enough time to board my flight to Miami where I boarded without any problems but once again faced rude flight attendants. Arrive in Miami 20 minutes delayed where I was called up to the counter by an agent where I was asked to switch seats with another passenger because a family was traveling. I paid extra for this seat because all that was left was the preferred seating I asked the agent if I would be moved to a preferred seat she said yes. I get in line to board and am told rudely that I was in boarding group 4 and that they were only boarding group 1 at the moment. I paid extra to be in boarding group 1 and will never again switch seats with someone. Finally am able to board and the safety video plays on the screen on the backs of the seats. The pilot comes over saying that there are two minor problems that need to be taken care of before we can take off. After waiting for over an hour the pilot comes back over the intercom again to explain that we need to deplane. So we got off the plane and wait at the gate for another hour before we are finally told that the flight won't leave until 11.30 the next morning. After waiting forever to speak to the ticket agent and was only offered a transportation voucher. I had to pay for a hotel in Miami. ,2015-07-25,,,1.0,,/airline-reviews/american-airlines,1.0,,0,"Columbus, Ohio to Buenos Aires, Argentina",1.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,,1.03,Flight Attendant
24,,american-airlines,,Beth Kutcher,United States,Economy,3.0,American is usually okay for me but they aggravated me this time around. I'm assuming the airlines set the flight times. We had a 2 hour layover which is usually enough time but due to the size and unecessary complexity  I already reviewed the airport separately) of Miami airport it was not enough time and we had to run to make final boarding call. I feel like an airline should understand times and how each airport is and should not schedule flights if they know it will be almost impossible for their customers. We were so close to not making it even though we were responsible with booking the layover times. If there is such a risk of passengers not making it don't schedule flights for those times! Part of the problem was the need to claim baggage and recheck it which we were not informed of when we booked the flights. It took far too long for our baggage to come and there was no one around to answer questions about whether or not more baggage was coming. Then after running to make it we still didn't take off on time. We sat for 30 mins at the gate while they fixed some problem in cargo. Some smaller complaints: they did not serve snacks on any of their flights for this trip and they did not show any good entertainment. They kept showing show after show instead of movies and not any good shows either that are popular.,2015-07-25,,1.0,1.0,1.0,/airline-reviews/american-airlines,3.0,,0,Pamama City to New York via Miami,3.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,3.0,0.8936274509803922,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems
25,,american-airlines,,Caroline Salopek,United States,Economy,3.0,Anytime I have ever flown with American Airlines there has always been a way to go above and beyond of making flight travel as miserable as possible.  I'll give American Airlines the benefit of doubt. Not all of the people who work for American Airlines are rude. They will acknowledge you if you are persistent and polite enough. When I was at the Denver Airport I was not impressed with the agents. The flight crew did their best to help me. They were able to inform me that I would miss my connecting flight to Pittsburgh. There was only one agent who seemed to address my issue in concise and respectful manner - other agents were rude. I don't need outstanding customer service.,2015-07-24,,,1.0,,/airline-reviews/american-airlines,2.0,,0,Denver to Pittsburgh,1.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,,0.9779411764705882,General
26,,american-airlines,,Caroline Salopek,United States,Economy,3.0,Anytime I have ever flown with American Airlines there has always been a way to go above and beyond of making flight travel as miserable as possible.  I'll give American Airlines the benefit of doubt. Not all of the people who work for American Airlines are rude. They will acknowledge you if you are persistent and polite enough. When I was at the Denver Airport I was not impressed with the agents. The flight crew did their best to help me. They were able to inform me that I would miss my connecting flight to Pittsburgh. There was only one agent who seemed to address my issue in concise and respectful manner - other agents were rude. I don't need outstanding customer service.,2015-07-24,,,1.0,,/airline-reviews/american-airlines,2.0,,0,Denver to Pittsburgh,1.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,,0.9779411764705882,General
27,,american-airlines,,Gloria Fang,United States,Economy,2.0,I haven't flown with AA for a while and my July flight to AA is the most horrible experience I have ever had. The aircraft is not clean and new compared to other airlines like UA or JetBlue. On my flight from Dallas to New York City I was asked to check my carry on baggage before boarding (I am the last few to board) saying there is no enough over seat space. But after boarding the airplane I found that there are much more space near my seat and there is no need to check my carry on. On my experience with JetBlue the flight attendee will arrange the carry bag space for you. ,2015-07-23,,2.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,San Jose to New York via Dallas,1.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,1.0,1.0123278236914601,General
28,,american-airlines,,Gloria Fang,United States,Economy,2.0,I haven't flown with AA for a while and my July flight to AA is the most horrible experience I have ever had. The aircraft is not clean and new compared to other airlines like UA or JetBlue. On my flight from Dallas to New York City I was asked to check my carry on baggage before boarding (I am the last few to board) saying there is no enough over seat space. But after boarding the airplane I found that there are much more space near my seat and there is no need to check my carry on. On my experience with JetBlue the flight attendee will arrange the carry bag space for you. ,2015-07-23,,2.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,San Jose to New York via Dallas,1.0,,,,,,American Airlines customer review,Solo Leisure,1.0,,1.0,1.0123278236914601,General
29,,american-airlines,,C Hemphill,United States,Economy,1.0,My plane was diverted from DFW to Shreveport LA left on the tarmac for almost 3 hours and then abruptly cancelled. No flights out meant that everyone was stuck and no rental cars were available. No help w/ hotel costs or car rental. Will never fly American again,2015-07-23,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,"SAV to Seattle, WA",1.0,,,,,,American Airlines customer review,Business,1.0,,1.0,1.025,Cancelled Flight
30,,american-airlines,,C Hemphill,United States,Economy,1.0,My plane was diverted from DFW to Shreveport LA left on the tarmac for almost 3 hours and then abruptly cancelled. No flights out meant that everyone was stuck and no rental cars were available. No help w/ hotel costs or car rental. Will never fly American again,2015-07-23,,1.0,1.0,1.0,/airline-reviews/american-airlines,1.0,,0,"SAV to Seattle, WA",1.0,,,,,,American Airlines customer review,Business,1.0,,1.0,1.025,Cancelled Flight
31,,american-airlines,,Sian Rees,United Kingdom,Economy,1.0,We were set to travel from Vegas to Dallas then to Orlando then to Gatwick. The nightmare started on our first flight flight was delayed due to cabin crew being late when we got to Dallas we had missed our connection due to the previous flight delay we then get told we can go on the next flight but it was fully booked so we would be put on standby. We made them aware we had more connections to get to they couldn't of cared less! After my partner explaining we needed to get home due to commitments etc they put us on a direct flight after they booked it then told us it was to Heathrow airport which is 45 mins from where our car was in Gatwick. Advised that the airline would pay for our bus journey so we took it. When we arrived in Heathrow our nightmare continued as American airlines had now lost our luggage. When we realised the luggage was missing we went to a help desk just to file a report and to be told to go home and our luggage should arrive later that day and all will be ok. Well I've been home a day now and numerous phone calls to American Airlines have not been helpful to us.,2015-07-19,,,1.0,,/airline-reviews/american-airlines,1.0,,0,Vegas to Heathrow via Dallas,2.0,,,,,,American Airlines customer review,Couple Leisure,1.0,,,0.9794117647058823,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Flight Attendant
32,,american-airlines,,Sian Rees,United Kingdom,Economy,1.0,We were set to travel from Vegas to Dallas then to Orlando then to Gatwick. The nightmare started on our first flight flight was delayed due to cabin crew being late when we got to Dallas we had missed our connection due to the previous flight delay we then get told we can go on the next flight but it was fully booked so we would be put on standby. We made them aware we had more connections to get to they couldn't of cared less! After my partner explaining we needed to get home due to commitments etc they put us on a direct flight after they booked it then told us it was to Heathrow airport which is 45 mins from where our car was in Gatwick. Advised that the airline would pay for our bus journey so we took it. When we arrived in Heathrow our nightmare continued as American airlines had now lost our luggage. When we realised the luggage was missing we went to a help desk just to file a report and to be told to go home and our luggage should arrive later that day and all will be ok. Well I've been home a day now and numerous phone calls to American Airlines have not been helpful to us.,2015-07-19,,,1.0,,/airline-reviews/american-airlines,1.0,,0,Vegas to Heathrow via Dallas,2.0,,,,,,American Airlines customer review,Couple Leisure,1.0,,,0.9794117647058823,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Flight Attendant
33,,american-airlines,,Sian Rees,United Kingdom,Economy,1.0,We were set to travel from Vegas to Dallas then to Orlando then to Gatwick. The nightmare started on our first flight flight was delayed due to cabin crew being late when we got to Dallas we had missed our connection due to the previous flight delay we then get told we can go on the next flight but it was fully booked so we would be put on standby. We made them aware we had more connections to get to they couldn't of cared less! After my partner explaining we needed to get home due to commitments etc they put us on a direct flight after they booked it then told us it was to Heathrow airport which is 45 mins from where our car was in Gatwick. Advised that the airline would pay for our bus journey so we took it. When we arrived in Heathrow our nightmare continued as American airlines had now lost our luggage. When we realised the luggage was missing we went to a help desk just to file a report and to be told to go home and our luggage should arrive later that day and all will be ok. Well I've been home a day now and numerous phone calls to American Airlines have not been helpful to us.,2015-07-19,,,1.0,,/airline-reviews/american-airlines,1.0,,0,Vegas to Heathrow via Dallas,2.0,,,,,,American Airlines customer review,Couple Leisure,1.0,,,0.9794117647058823,Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Booking Problems/Flight Attendant
